user_id,product_id,rating,rating_count,time_of_day,day_of_week,month,season,device_type,gender,category,brand,price,original_price,discount_percentage,product_views,purchase_intent,interaction_type,timestamp,day_name,is_weekend,hour,date,price_range,uid,iid
83,326,2.39537745168118,278,morning,1,7,summer,mobile,M,Skirt,Lacoste,2277662,2996924,24,2077,low,view,2023-07-27 10:49:16,Tuesday,0,10,2023-07-27,Luxury,82,225
30,302,5.0,226,evening,2,2,autumn,desktop,M,Cargo Pants,Nike,1476052,1892375,22,100,medium,purchase,2024-02-18 22:11:22,Wednesday,0,22,2024-02-18,Premium,29,201
34,157,5.0,330,evening,2,11,summer,mobile,F,Jacket,Zara,2003207,2670943,25,159,high,cart,2024-11-06 20:30:35,Wednesday,0,20,2024-11-06,Luxury,33,56
65,394,5.0,153,morning,5,8,autumn,desktop,M,Shirt,Lacoste,2143592,2521873,15,141,low,purchase,2023-08-25 09:43:21,Saturday,1,9,2023-08-25,Luxury,64,293
171,193,5.0,122,evening,5,11,summer,mobile,M,Sneakers,Levi's,691516,875337,21,88,high,purchase,2023-11-27 20:32:24,Saturday,1,20,2023-11-27,Mid,170,92
160,416,5.0,358,evening,6,1,winter,mobile,M,Cargo Pants,Adidas,522994,679214,23,84,high,purchase,2024-01-24 18:28:48,Sunday,1,18,2024-01-24,Mid,159,315
132,299,5.0,366,evening,6,4,summer,mobile,M,T-shirt,Adidas,1835466,2415088,24,288,high,purchase,2023-04-06 23:43:31,Sunday,1,23,2023-04-06,Premium,131,198
143,306,2.3036535403304703,64,morning,4,8,autumn,mobile,M,Jacket,Gucci,1176378,1352159,13,707,medium,view,2024-08-21 08:09:29,Friday,0,8,2024-08-21,Premium,142,205
184,461,5.0,339,evening,1,4,summer,mobile,M,Shirt,Puma,1639271,1862809,12,84,high,purchase,2023-04-27 20:16:05,Tuesday,0,20,2023-04-27,Premium,183,360
149,418,5.0,109,evening,3,9,summer,desktop,F,Bag,H&M,420685,539341,22,186,medium,cart,2024-09-08 23:10:24,Thursday,0,23,2024-09-08,Budget,148,317
187,485,5.0,240,afternoon,3,10,summer,mobile,F,Sweater,Ralph Lauren,2523720,2934559,14,87,high,purchase,2024-10-19 14:36:50,Thursday,0,14,2024-10-19,Luxury,186,384
40,469,5.0,268,evening,0,5,winter,desktop,M,Blouse,Levi's,1674351,2174483,23,448,low,cart,2023-05-18 03:11:38,Monday,0,3,2023-05-18,Premium,39,368
117,393,5.0,68,evening,6,5,summer,mobile,M,Polo Shirt,Dickies,2059942,2452313,16,281,high,purchase,2023-05-11 18:14:50,Sunday,1,18,2023-05-11,Luxury,116,292
108,198,5.0,56,morning,4,10,autumn,mobile,M,Bag,Levi's,2299149,2985908,23,406,high,cart,2024-10-04 09:39:42,Friday,0,9,2024-10-04,Luxury,107,97
104,416,5.0,216,afternoon,3,12,autumn,tablet,M,Bag,Lacoste,1646114,2032240,19,261,medium,cart,2023-12-08 15:08:29,Thursday,0,15,2023-12-08,Premium,103,315
145,288,5.0,126,evening,1,5,autumn,mobile,M,Polo Shirt,Adidas,357650,401855,11,84,high,purchase,2023-05-23 21:17:31,Tuesday,0,21,2023-05-23,Budget,144,187
89,384,2.2763396586842983,141,morning,5,7,spring,mobile,M,Shoes,Carhartt,678339,892552,24,800,low,view,2023-07-29 11:30:47,Saturday,1,11,2023-07-29,Mid,88,283
119,289,2.8496280324738583,262,afternoon,2,9,summer,mobile,M,Sneakers,Calvin Klein,2334223,2652527,12,1421,high,view,2024-09-15 17:20:05,Wednesday,0,17,2024-09-15,Luxury,118,188
126,302,5.0,214,evening,6,9,winter,tablet,M,Dress,Calvin Klein,655183,779980,16,33,medium,purchase,2023-09-19 00:07:07,Sunday,1,0,2023-09-19,Mid,125,201
141,118,5.0,294,evening,6,9,summer,mobile,F,Cargo Pants,Mango,259470,288301,10,217,medium,purchase,2023-09-18 00:23:59,Sunday,1,0,2023-09-18,Budget,140,17
109,425,5.0,20,afternoon,4,10,summer,tablet,F,Polo Shirt,Calvin Klein,2055288,2417986,15,51,high,purchase,2024-10-22 14:01:20,Friday,0,14,2024-10-22,Luxury,108,324
155,420,5.0,397,afternoon,6,1,autumn,mobile,F,Sunglasses,Adidas,2527727,2905434,13,390,high,cart,2024-01-05 14:48:09,Sunday,1,14,2024-01-05,Luxury,154,319
109,240,5.0,66,evening,5,8,autumn,desktop,F,T-shirt,Uniqlo,1041619,1285950,19,142,medium,cart,2024-08-20 20:20:00,Saturday,1,20,2024-08-20,Premium,108,139
175,119,3.1830637605960588,197,evening,1,3,autumn,mobile,M,Skirt,H&M,1051871,1282770,18,1360,medium,view,2024-03-22 02:04:12,Tuesday,0,2,2024-03-22,Premium,174,18
121,369,5.0,93,evening,5,2,summer,mobile,M,Jacket,Adidas,1361920,1565426,13,84,high,purchase,2024-02-27 04:48:44,Saturday,1,4,2024-02-27,Premium,120,268
43,208,3.0834304824468846,368,morning,6,11,autumn,mobile,F,Jacket,Carhartt,1276665,1595832,20,1037,high,view,2024-11-27 10:09:25,Sunday,1,10,2024-11-27,Premium,42,107
199,479,5.0,372,evening,5,12,summer,mobile,F,Jacket,H&M,1061118,1205817,12,180,high,cart,2023-12-02 01:19:50,Saturday,1,1,2023-12-02,Premium,198,378
29,189,5.0,367,evening,2,10,autumn,tablet,F,Sunglasses,Puma,1432819,1609909,11,33,high,purchase,2024-10-04 20:35:26,Wednesday,0,20,2024-10-04,Premium,28,88
121,447,3.028714045616397,195,morning,5,3,summer,desktop,F,Shoes,Mango,2144649,2615426,18,743,medium,view,2023-03-25 07:51:50,Saturday,1,7,2023-03-25,Luxury,120,346
70,493,5.0,197,evening,5,4,autumn,mobile,F,Polo Shirt,Pull&Bear,433696,481885,10,334,high,purchase,2023-04-05 20:07:07,Saturday,1,20,2023-04-05,Budget,69,392
18,475,2.7403509944676445,74,afternoon,2,3,summer,desktop,F,Hat,Adidas,619253,764511,19,1760,medium,view,2023-03-29 13:59:21,Wednesday,0,13,2023-03-29,Mid,17,374
21,196,2.6578396205282586,271,evening,5,5,autumn,desktop,M,Cargo Pants,Carhartt,1269949,1649285,23,1831,low,view,2024-05-06 22:22:43,Saturday,1,22,2024-05-06,Premium,20,95
8,292,4.758510134945452,169,evening,6,10,summer,desktop,F,Jeans,Gucci,2226754,2474172,10,249,high,cart,2024-10-29 02:11:28,Sunday,1,2,2024-10-29,Luxury,7,191
21,306,5.0,57,evening,6,5,winter,desktop,M,Cargo Pants,Nike,596323,754840,21,349,medium,cart,2024-05-16 23:18:27,Sunday,1,23,2024-05-16,Mid,20,205
41,148,2.334697835293196,307,evening,2,12,summer,desktop,F,T-shirt,Dickies,1328021,1770695,25,1169,low,view,2023-12-07 20:17:49,Wednesday,0,20,2023-12-07,Premium,40,47
120,430,5.0,227,morning,6,5,autumn,mobile,M,Bag,Calvin Klein,2603033,2924757,11,129,high,purchase,2024-05-24 07:12:21,Sunday,1,7,2024-05-24,Luxury,119,329
115,438,5.0,220,morning,0,1,summer,mobile,F,Shoes,Dickies,1377328,1679669,18,122,low,purchase,2023-01-14 09:12:00,Monday,0,9,2023-01-14,Premium,114,337
166,340,5.0,214,evening,4,12,summer,mobile,F,Bag,Pull&Bear,990967,1208497,18,172,high,purchase,2024-12-08 23:54:14,Friday,0,23,2024-12-08,Mid,165,239
95,394,5.0,377,evening,4,7,spring,desktop,F,Dress,Zara,1596194,1834706,13,42,low,purchase,2023-07-13 01:26:54,Friday,0,1,2023-07-13,Premium,94,293
63,195,2.681268976442916,391,evening,3,6,autumn,mobile,M,Sunglasses,The North Face,998620,1232865,19,724,high,view,2024-06-16 19:53:57,Thursday,0,19,2024-06-16,Mid,62,94
164,125,3.2186314419329025,46,afternoon,4,11,autumn,mobile,F,Dress,Carhartt,307074,379104,19,1141,high,view,2024-11-12 14:50:51,Friday,0,14,2024-11-12,Budget,163,24
37,116,5.0,82,evening,6,2,autumn,mobile,F,Jacket,Calvin Klein,419798,552366,24,296,high,cart,2023-02-25 20:17:54,Sunday,1,20,2023-02-25,Budget,36,15
89,384,2.837179840611014,289,afternoon,2,1,autumn,desktop,F,Cardigan,Uniqlo,1048608,1248344,16,788,medium,view,2023-01-05 12:35:21,Wednesday,0,12,2023-01-05,Premium,88,283
38,282,5.0,202,evening,3,5,autumn,mobile,M,Hat,Ralph Lauren,2111083,2574492,18,259,high,cart,2023-05-18 02:07:46,Thursday,0,2,2023-05-18,Luxury,37,181
17,487,3.0345938810100983,76,afternoon,6,3,winter,desktop,F,Dress,Uniqlo,691461,921948,25,917,medium,view,2023-03-19 16:13:03,Sunday,1,16,2023-03-19,Mid,16,386
113,323,5.0,342,morning,5,3,autumn,desktop,F,Sunglasses,Gucci,521552,668657,22,156,low,cart,2024-03-01 11:37:16,Saturday,1,11,2024-03-01,Mid,112,222
126,239,5.0,186,evening,2,9,autumn,mobile,M,Cargo Pants,Nike,1901170,2469052,23,470,high,cart,2023-09-13 22:20:12,Wednesday,0,22,2023-09-13,Premium,125,138
12,450,5.0,316,morning,2,3,winter,tablet,F,Skirt,Dickies,2420996,2988885,19,21,high,purchase,2023-03-15 07:22:39,Wednesday,0,7,2023-03-15,Luxury,11,349
48,303,5.0,309,evening,6,7,summer,mobile,M,Shoes,Ralph Lauren,1672049,2229399,25,72,high,purchase,2024-07-21 21:23:40,Sunday,1,21,2024-07-21,Premium,47,202
190,158,5.0,180,afternoon,5,10,winter,desktop,F,Jeans,Calvin Klein,1770223,2185461,19,22,high,purchase,2024-10-30 16:42:09,Saturday,1,16,2024-10-30,Premium,189,57
28,306,5.0,332,morning,3,9,spring,mobile,F,Skirt,Calvin Klein,978572,1208114,19,193,low,cart,2024-09-16 10:45:04,Thursday,0,10,2024-09-16,Mid,27,205
160,391,3.2004096041189767,75,afternoon,4,3,summer,mobile,M,Blouse,Zara,1809847,2234380,19,282,low,view,2023-03-27 15:57:32,Friday,0,15,2023-03-27,Premium,159,290
21,159,2.306598144458304,240,evening,0,7,autumn,desktop,F,Cardigan,Zara,2197171,2746464,20,2081,medium,view,2024-07-14 02:22:38,Monday,0,2,2024-07-14,Luxury,20,58
110,488,5.0,113,afternoon,2,7,autumn,tablet,M,T-shirt,Carhartt,1717915,2174577,21,101,high,purchase,2023-07-25 16:25:02,Wednesday,0,16,2023-07-25,Premium,109,387
18,374,4.354238401344809,361,morning,1,10,summer,desktop,F,Shirt,Calvin Klein,2186583,2699486,19,311,low,cart,2023-10-18 05:40:00,Tuesday,0,5,2023-10-18,Luxury,17,273
177,178,2.8846074150148433,153,morning,5,5,autumn,desktop,F,Bag,Carhartt,884178,1163393,24,835,low,view,2024-05-09 11:18:23,Saturday,1,11,2024-05-09,Mid,176,77
155,292,5.0,23,evening,0,6,autumn,mobile,M,Bag,Levi's,1978008,2637344,25,160,high,purchase,2024-06-30 20:04:22,Monday,0,20,2024-06-30,Premium,154,191
28,496,2.334823602821291,144,evening,6,6,summer,mobile,F,Jeans,Levi's,689768,831046,17,1258,medium,view,2023-06-07 03:09:22,Sunday,1,3,2023-06-07,Mid,27,395
